,Library,Plate,Well,Rate,Type,Column,Row
492,lib2,P1,B01,0.148832507,Variant,1,B
493,lib2,P1,B02,0.270281791,Variant,2,B
494,lib2,P1,B03,0.424927973,Variant,3,B
495,lib2,P1,B04,0.182545646,Variant,4,B
496,lib2,P1,B05,0.039111265,Variant,5,B
497,lib2,P1,B06,0.084518412,Variant,6,B
498,lib2,P1,B07,0.294837806,Variant,7,B
499,lib2,P1,B08,0.340043053,Variant,8,B
500,lib2,P1,B09,0.17310818,Variant,9,B
501,lib2,P1,B10,0.161826352,Parent,10,B
502,lib2,P1,B11,0.022317586,Variant,11,B
503,lib2,P1,B12,0.011294955,Variant,12,B
504,lib2,P1,C01,-0.006870937,Variant,1,C
505,lib2,P1,C02,0.242541514,Variant,2,C
506,lib2,P1,C03,0.096890458,Variant,3,C
507,lib2,P1,C04,-0.001860485,Variant,4,C
508,lib2,P1,C05,0.001234565,Variant,5,C
509,lib2,P1,C06,-0.001336779,Variant,6,C
510,lib2,P1,C07,0.097286266,Variant,7,C
511,lib2,P1,C08,0.009790044,Variant,8,C
512,lib2,P1,C09,0.008418072,Variant,9,C
513,lib2,P1,C10,0.149841551,Parent,10,C
514,lib2,P1,C11,0.023936403,Variant,11,C
515,lib2,P1,C12,0.435514298,Variant,12,C
516,lib2,P1,D01,0.110875255,Variant,1,D
517,lib2,P1,D02,0.201078686,Variant,2,D
518,lib2,P1,D03,0.009187216,Variant,3,D
519,lib2,P1,D04,0.003535618,Variant,4,D
520,lib2,P1,D05,0.057652695,Variant,5,D
521,lib2,P1,D06,0.299238941,Variant,6,D
522,lib2,P1,D07,0.341056295,Variant,7,D
523,lib2,P1,D08,0.006314897,Variant,8,D
524,lib2,P1,D09,-0.012012514,Variant,9,D
525,lib2,P1,D10,0.151175486,Parent,10,D
526,lib2,P1,D11,0.006576906,Variant,11,D
527,lib2,P1,D12,0.041172546,Variant,12,D
528,lib2,P1,E01,0.413510085,Variant,1,E
529,lib2,P1,E02,0.134930625,Variant,2,E
